date,year,month,day,season,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2017-12-05,2017,12,5,Winter,0.2,0,1,0.0,0.0,38.208333333333336
2017-12-06,2017,12,6,Winter,2.7,0,1,0.0,0.0,51.875
2017-12-07,2017,12,7,Winter,0.8,0,1,0.0,0.0,33.833333333333336
2017-12-08,2017,12,8,Winter,0.2,0,1,0.0,0.0,43.541666666666664
2017-12-09,2017,12,9,Winter,4.2,0,1,0.0,0.0,51.666666666666664
2017-12-11,2017,12,11,Winter,-4.3,0,1,0.0,0.0,25.083333333333332
2017-12-12,2017,12,12,Winter,-7.1,0,1,0.0,0.0,23.916666666666668
2017-12-13,2017,12,13,Winter,-4.2,0,1,0.0,0.0,21.875
2017-12-14,2017,12,14,Winter,-3.1,0,1,0.0,0.0,43.75
2017-12-15,2017,12,15,Winter,-1.4,0,1,0.0,0.0,39.541666666666664
2017-12-17,2017,12,17,Winter,-1.8,0,1,0.0,0.0,28.083333333333332
2017-12-18,2017,12,18,Winter,-0.1,0,1,0.0,0.0,27.375
2017-12-19,2017,12,19,Winter,-2.2,0,1,0.0,0.0,35.291666666666664
2017-12-20,2017,12,20,Winter,0.3,0,1,0.0,0.0,44.333333333333336
2017-12-21,2017,12,21,Winter,-0.6,0,1,0.0,0.0,52.5
2017-12-22,2017,12,22,Winter,1.6,0,1,0.0,0.0,43.833333333333336
2017-12-23,2017,12,23,Winter,1.6,0,1,0.0,0.0,40.458333333333336
2017-12-25,2017,12,25,Winter,-1.1,0,1,0.0,0.0,34.125
2017-12-26,2017,12,26,Winter,-1.9,0,1,0.0,0.0,46.125
2017-12-27,2017,12,27,Winter,-3.3,0,1,0.0,0.0,76.08333333333333
2017-12-28,2017,12,28,Winter,-3.2,0,1,0.0,0.0,70.75
2017-12-29,2017,12,29,Winter,-3.4,0,1,0.0,0.0,80.29166666666667
2017-12-30,2017,12,30,Winter,-1.5,0,1,0.0,0.0,63.083333333333336
2017-12-31,2017,12,31,Winter,-2.9,0,1,0.0,0.0,41.708333333333336
2018-01-01,2018,1,1,Winter,-2.9,0,1,0.0,0.0,23.708333333333332
2018-01-02,2018,1,2,Winter,-2.7,0,1,0.0,0.0,36.916666666666664
2018-01-03,2018,1,3,Winter,-3.4,0,1,0.0,0.0,22.0
2018-01-04,2018,1,4,Winter,-5.4,0,1,0.0,0.0,21.25
2018-01-05,2018,1,5,Winter,-2.6,0,1,0.0,0.0,27.75
2018-01-06,2018,1,6,Winter,-1.4,0,1,0.0,0.0,25.0
2018-01-07,2018,1,7,Winter,-0.2,0,1,0.0,0.0,33.25
2018-01-11,2018,1,11,Winter,-8.8,0,1,0.0,0.0,18.666666666666668
2018-01-12,2018,1,12,Winter,-5.3,0,1,0.0,0.0,25.166666666666668
2018-01-13,2018,1,13,Winter,-3.6,0,1,0.0,0.0,34.791666666666664
2018-01-14,2018,1,14,Winter,0.2,0,1,0.0,0.0,48.0
2018-01-15,2018,1,15,Winter,-1.3,0,1,0.0,0.0,36.916666666666664
2018-01-16,2018,1,16,Winter,0.2,0,1,0.0,0.0,42.125
2018-01-17,2018,1,17,Winter,-1.3,0,1,0.0,0.0,45.416666666666664
2018-01-18,2018,1,18,Winter,-2.7,0,1,0.0,0.0,48.5
2018-01-19,2018,1,19,Winter,0.7,0,1,0.0,0.0,45.0
2018-01-20,2018,1,20,Winter,-0.9,0,1,0.0,0.0,44.875
2018-01-21,2018,1,21,Winter,-4.2,0,1,0.2,0.14,53.708333333333336
2018-01-22,2018,1,22,Winter,-6.7,0,1,0.9,0.6300000000000001,47.958333333333336
