common_name,season,month,month_name,n_years,intercept,temperature_beta,humidity_beta,prcp_beta,temperature_standardized_beta,humidity_standardized_beta,prcp_standardized_beta,r_squared,adjusted_r_squared,rmse
Kentish Plover,Spring,5,May,9,-0.0020000635752208855,0.00020672125128688804,-2.821067363570418e-05,-1.2594961757783986e-05,0.23714715166325298,-0.1983109141807574,-0.3053729512588468,0.32715605077695886,-0.07655031875686591,0.0006772730170593413
Little Bunting,Spring,3,March,9,0.0022174424675630083,0.0005953736401615039,1.254834011679248e-05,-0.00019966713953149825,0.19092861480756457,0.0379747164805836,-0.4792093362528423,0.22846804127432607,-0.2344511339610782,0.0022126811978533272
Little Bunting,Spring,4,April,9,0.0006107655805782882,0.0006609275582003237,-0.00014831982476203826,8.622066510038069e-05,0.23257128899251786,-0.3966620439279936,0.5756533146880278,0.2161395240509223,-0.2541767615185244,0.001996200641080509
Little Bunting,Spring,5,May,9,0.0504897946455689,-0.001262036349356964,-0.0002515660970708772,-4.10901721476139e-05,-0.5354627490547209,-0.654048394269316,-0.36846503795829766,0.8136790124272755,0.7018864198836408,0.0009636356857024228
Little Ringed Plover,Spring,3,March,8,0.021319018524208425,-0.0012316354725758238,-0.00021384370253290893,0.00025177456997368275,-0.6504359227225701,-1.059295681587457,0.8921359197843876,0.5105065321577167,0.14338643127600426,0.0011350617439127584
Little Ringed Plover,Spring,4,April,9,0.02811424808205258,-0.0014071132830942978,1.905088126207625e-05,8.143722079206417e-05,-0.4082890645419679,0.042011961424790606,0.44834159373410126,0.3181441611081369,-0.09096934222698083,0.002257847696013127
Little Ringed Plover,Spring,5,May,9,-0.0010154646397056454,0.00035951419967317753,-3.815080449756654e-05,-4.3868279325020525e-05,0.2550371455467952,-0.16584083027634333,-0.6577167713975883,0.7581616890988343,0.6130587025581349,0.0006566206629160396
Little Tern,Spring,5,May,9,-0.004951320247314637,0.00026306851575573937,1.4817810686532435e-05,-1.7104888390883167e-05,0.3242607617821557,0.11192057643329427,-0.4456015515958466,0.2855878468848735,-0.14305944498420242,0.0006495136436151885
Long-tailed Minivet,Spring,4,April,8,-0.0015740115630175856,0.00010524552585522167,2.5426912448841442e-05,-2.0835564818796805e-05,0.22175136927413353,0.4080862189606315,-0.7757832862015626,0.3138165054412104,-0.20082111547788184,0.0003151505738486221
Long-tailed Minivet,Spring,5,May,9,0.007802228151764316,-0.0003366491518938483,7.83054216836537e-06,4.525848148163678e-06,-0.6530882306111737,0.09308646487138819,0.1855646455825523,0.5838940471856686,0.33423047549706975,0.0003149539194062741
Long-toed Stint,Spring,5,May,9,0.004010924211326215,-3.8698793499944884e-05,-4.037336552746143e-05,-8.293754550211726e-06,-0.08567601657669231,-0.5477181931213359,-0.38807346181500424,0.6735860167229236,0.47773762675667775,0.00024443417307168375
Marsh Sandpiper,Spring,5,May,9,0.009328725497631788,-0.00021634675938111188,-8.179943419900152e-05,1.7005808740622831e-06,-0.4573016527215419,-1.0595050925396936,0.07597148095710472,0.8970290689207115,0.8352465102731385,0.0001437951799834534
Mongolian Gull,Spring,3,March,9,0.006542739608794069,0.00019311478320413992,-4.795918422633601e-05,4.3425949633005686e-05,0.044058644694630084,-0.10325574851010072,0.07414846968139313,0.01642342965872523,-0.5737225125460397,0.003511654490085334
Mongolian Gull,Spring,4,April,8,0.0022052980754143823,0.00014728441922431785,-7.789804702820156e-05,3.0940332675568474e-05,0.1393731767456062,-0.561493322247309,0.5173921610106604,0.19710048046344086,-0.4050741591889784,0.000759047305467799
Mongolian Gull,Spring,5,May,8,-0.00547004604202319,0.00026080853217765986,4.2575076654114815e-06,-2.5934534153899553e-06,0.5619533493037882,0.05453497714324297,-0.11950190943720441,0.31754876397473286,-0.19428966304421746,0.00037571580119053746
Mongolian Short-toed Lark,Spring,4,April,9,0.009888003055330944,-0.0004492455049149819,-4.8187238665749366e-05,1.6743818977843406e-05,-0.7079894638179088,-0.5771574380096532,0.5006623993049798,0.7416993385698153,0.5867189417117045,0.0002558625661559517
Northern Lapwing,Spring,3,March,9,0.006303762856865391,-0.0002686943690940968,2.769408619806879e-05,-3.171116760174851e-05,-0.22506006433106382,0.21890402774429565,-0.198787632648813,0.15630203813534305,-0.3499167389834512,0.0008858841490635229
Northern Lapwing,Spring,4,April,9,0.004799393761110803,9.430552434872464e-06,-6.725961963354275e-05,0.00010318483885537501,0.0024793383600133895,-0.13439164662678882,0.5147092318167019,0.1832391651519698,-0.3068173357568482,0.0027273183404688036
Northern Lapwing,Spring,5,May,9,-0.011315586927792873,0.00048100553524754573,6.861793947225566e-05,-3.083458030791893e-05,0.41376092945624093,0.3616907893579512,-0.5605809971208044,0.3482158163793221,-0.04285469379308471,0.0008889797934888603
Northern Pintail,Spring,3,March,9,0.004017637846539348,-0.00014050604635654551,8.955659404930319e-05,5.6705367905439065e-05,-0.05260776739050273,0.3164311762437957,0.1588972150631613,0.1875775753175648,-0.2998758794918963,0.0019447303767135549
Northern Pintail,Spring,4,April,9,0.002317620236920031,-2.8574339640308907e-05,4.906417979653817e-05,-7.230574417554023e-05,-0.01715103095623856,0.22381942409724973,-0.8234443052495749,0.4652389895089505,0.14438238321432073,0.0009666135657210796
Northern Shoveler,Spring,3,March,8,0.044883705085220806,-0.0028054814851762614,-0.00038796577178975937,0.00027589390847444713,-1.0159973020069444,-1.3178833338646518,0.6703846970040575,0.7902938909029875,0.6330143090802282,0.0010833998216072459
Northern Shoveler,Spring,4,April,9,0.005722025001380484,-0.00044021310205571783,0.00014129540290444453,-3.6284339659090173e-06,-0.2841945134683965,0.693266092924917,-0.04444463569278998,0.4224364274040583,0.07589828384649322,0.000933972778451288
Ochre-rumped Bunting,Spring,3,March,8,-0.001365898381724035,0.00015091917723474978,3.3516263608707124e-05,-4.775377339607998e-05,0.32040427043123015,0.6674332998530081,-0.6802340914118348,0.25905620836223175,-0.2966516353660944,0.00034738185590555776
Olive-backed Pipit,Spring,3,March,8,0.0005041579795865864,-5.96927227321427e-05,1.4736552193800028e-05,-1.1751157663908326e-05,-0.19789308228511038,0.4582511012641396,-0.26138864056418554,0.28535891509652667,-0.2506218985810784,0.00021847569628357944
Olive-backed Pipit,Spring,4,April,9,-0.008368849174784284,0.0006365573253307694,0.00013368196550152887,-7.77595305211926e-05,0.3567981281621807,0.569478158299061,-0.8269630000285156,0.4460585817970807,0.11369373087532908,0.001053498493021839
Olive-backed Pipit,Spring,5,May,9,0.04951623510534344,-0.0013212554433706288,-0.0002589797324267612,-7.393043951356397e-06,-0.5010944141043511,-0.6018647689752449,-0.05925936391834304,0.42844839328170203,0.08551742925072325,0.001888140633280639
Oriental Honey-buzzard,Spring,5,May,9,0.002537408019646962,0.00013465288924177147,-4.014238839803654e-05,1.2887143842179191e-05,0.14846373679946745,-0.2712116193597046,0.3003048266377947,0.09657079176753369,-0.4454867331719461,0.000816548035297239
Oriental Pratincole,Spring,4,April,9,0.0044338890266771794,-0.00019193980101491886,-1.3911656237084189e-05,2.4092103092099977e-05,-0.17793622775408025,-0.09801609117167621,0.4237614576676609,0.14096941024585452,-0.3744489436066327,0.0007932170158962144
Oriental Pratincole,Spring,5,May,9,0.006883915447475499,-0.00014282629873435984,-5.2605960110619706e-05,-3.956827987297502e-06,-0.21049316798692227,-0.47507824790474024,-0.12324744332454739,0.2741751622282056,-0.16131974043487096,0.0005475521337798011
